mileage,make,model,fuel,gear,offerType,price,hp,year,mileage_bins
235000,BMW,316,Diesel,Manual,Used,6800.0,116.0,2011,over 200k
92800,Volkswagen,Golf,Gasoline,Manual,Used,6877.0,122.0,2011,under 100k
149300,SEAT,Exeo,Gasoline,Manual,Used,6900.0,160.0,2011,under 150k
96200,Renault,Megane,Gasoline,Manual,Used,6950.0,110.0,2011,under 100k
156000,Peugeot,308,Gasoline,Manual,Used,6950.0,156.0,2011,under 200k
147000,Toyota,Auris,Electric/Gasoline,Automatic,Used,6950.0,99.0,2011,under 150k
91894,Renault,Scenic,Diesel,Manual,Used,6970.0,131.0,2011,under 100k
127500,Opel,Zafira,Gasoline,Manual,Used,6972.0,116.0,2011,under 150k
115000,Mazda,3,Gasoline,Automatic,Used,6980.0,150.0,2011,under 150k
104,Ford,Transit,Diesel,Manual,Used,6990.0,86.0,2011,under 50k
59580,Opel,Meriva,Diesel,Automatic,Used,6990.0,101.0,2011,under 100k
84000,Volkswagen,Golf,Gasoline,Manual,Used,6990.0,105.0,2011,under 100k
427000,Mercedes-Benz,E 250,Diesel,Automatic,Used,6990.0,204.0,2011,over 200k
109000,Chevrolet,Orlando,Gasoline,Manual,Used,6990.0,141.0,2011,under 150k
194020,Audi,A4,Diesel,Manual,Used,6999.0,120.0,2011,under 200k
72000,Volkswagen,Polo,Gasoline,Manual,Used,6999.0,60.0,2011,under 100k
190000,Renault,Espace,Diesel,Manual,Used,6999.0,150.0,2011,under 200k
190000,Renault,Grand Espace,Diesel,Manual,Used,6999.0,150.0,2011,under 200k
85700,Fiat,Sedici,Diesel,Manual,Used,6999.0,135.0,2011,under 100k
82000,Opel,Corsa,Gasoline,Manual,Used,7000.0,101.0,2011,under 100k
44800,Kia,Picanto,Gasoline,Automatic,Used,7850.0,86.0,2012,under 50k
81970,Volkswagen,Golf,Gasoline,Manual,Used,7850.0,105.0,2012,under 100k
24000,Dacia,Duster,Gasoline,Manual,Used,7900.0,105.0,2012,under 50k
193333,Volkswagen,Cross Touran,Diesel,Manual,Used,7900.0,105.0,2012,under 200k
113000,Volkswagen,Beetle,Gasoline,Manual,Used,7900.0,105.0,2012,under 150k
117000,Volkswagen,Golf Cabriolet,Gasoline,Manual,Used,7949.0,105.0,2012,under 150k
299900,BMW,118,Diesel,Manual,Used,7950.0,143.0,2012,over 200k
104250,Opel,Astra,Gasoline,Manual,Used,7950.0,140.0,2012,under 150k
151250,Peugeot,308,Diesel,Manual,Used,7950.0,163.0,2012,under 200k
133500,BMW,118,Diesel,Manual,Used,7980.0,143.0,2012,under 150k
105000,Opel,Astra,Gasoline,Manual,Used,7980.0,179.0,2012,under 150k
114164,Ford,Focus,Gasoline,Manual,Used,7990.0,125.0,2012,under 150k
128000,MINI,One D Countryman,Diesel,Manual,Used,7990.0,90.0,2012,under 150k
150000,BMW,118,Diesel,Manual,Used,7999.0,143.0,2012,under 150k
160000,MINI,Cooper Clubman,Gasoline,Manual,Used,7999.0,122.0,2012,under 200k
165000,Mercedes-Benz,B 180,Diesel,Manual,Used,8000.0,109.0,2012,under 200k
51200,Renault,Scenic,Gasoline,Manual,Used,8000.0,131.0,2012,under 100k
107000,Opel,Insignia,Diesel,Manual,Used,8000.0,160.0,2012,under 150k
130000,MINI,One,Gasoline,Manual,Used,8000.0,98.0,2012,under 150k
214000,BMW,320,Diesel,Automatic,Used,8199.0,184.0,2012,over 200k
73760,Opel,Zafira,Gasoline,Manual,Used,8990.0,140.0,2013,under 100k
113000,Volkswagen,Beetle,Gasoline,Manual,Used,8990.0,160.0,2013,under 150k
108803,Hyundai,iX35,Diesel,Manual,Used,8990.0,116.0,2013,under 150k
7400,Opel,Adam,Gasoline,Manual,Used,8990.0,101.0,2013,under 50k
239211,BMW,520,Diesel,Automatic,Used,8990.0,184.0,2013,over 200k
86980,Ford,B-Max,Gasoline,Manual,Used,8995.0,120.0,2013,under 100k
98000,Volkswagen,Golf Variant,Diesel,Automatic,Used,8999.0,105.0,2013,under 100k
98988,Ford,Transit,Diesel,Manual,Used,8999.0,101.0,2013,under 100k
41124,Opel,Adam,Gasoline,Manual,Used,8999.0,101.0,2013,under 50k
170000,Volkswagen,Touran,Diesel,Manual,Used,8999.0,140.0,2013,under 200k
240000,Kia,Optima,Gasoline,Automatic,Used,9000.0,150.0,2013,over 200k
80500,BMW,114,Gasoline,Manual,Used,9000.0,102.0,2013,under 100k
195327,Ford,Galaxy,Diesel,Manual,Used,9000.0,140.0,2013,under 200k
143316,Volkswagen,Touran,Gasoline,Automatic,Used,9000.0,140.0,2013,under 150k
98100,SEAT,Leon,Gasoline,Manual,Used,9100.0,122.0,2013,under 100k
113000,Audi,A1,Gasoline,Manual,Used,9100.0,86.0,2013,under 150k
94000,Volkswagen,Golf Variant,Diesel,Manual,Used,9200.0,105.0,2013,under 100k
68700,Chevrolet,Trax,Gasoline,Manual,Used,9290.0,140.0,2013,under 100k
169500,Toyota,Verso,Diesel,Manual,Used,9300.0,126.0,2013,under 200k
77000,Volkswagen,Golf Plus,Gasoline,Automatic,Used,9300.0,122.0,2013,under 100k
45600,Ford,Fiesta,Gasoline,Manual,Used,8990.0,80.0,2014,under 50k
230000,Opel,Vivaro,Diesel,Manual,Used,8990.0,140.0,2014,over 200k
99756,Volkswagen,Polo,Gasoline,Manual,Used,8990.0,105.0,2014,under 100k
84600,Toyota,Yaris,Electric/Gasoline,Automatic,Used,8990.0,143.0,2014,under 100k
73000,Hyundai,iX20,Gasoline,Manual,Used,8990.0,125.0,2014,under 100k
133180,Volkswagen,Golf Variant,Diesel,Manual,Used,8990.0,105.0,2014,under 150k
22700,Volkswagen,up!,Gasoline,Manual,Used,8990.0,60.0,2014,under 50k
53000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,8999.0,105.0,2014,under 100k
149786,BMW,116,Gasoline,Manual,Used,8999.0,136.0,2014,under 150k
197500,Volkswagen,Passat Variant,Diesel,Manual,Used,8999.0,140.0,2014,under 200k
57000,Kia,Ceed / cee'd,Gasoline,Manual,Used,9000.0,99.0,2014,under 100k
53286,Skoda,Fabia,Gasoline,Manual,Used,9100.0,86.0,2014,under 100k
84721,Toyota,Yaris,Gasoline,Automatic,Used,9200.0,101.0,2014,under 100k
111000,Audi,A1,Gasoline,Manual,Used,9200.0,122.0,2014,under 150k
87500,SEAT,Ibiza,Diesel,Manual,Used,9290.0,105.0,2014,under 100k
55000,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,9300.0,105.0,2014,under 100k
77000,Volkswagen,Polo,Gasoline,Manual,Used,9300.0,90.0,2014,under 100k
166000,Volkswagen,Golf Variant,Diesel,Automatic,Used,9400.0,105.0,2014,under 200k
55000,Ford,C-Max,Gasoline,Manual,Used,9450.0,101.0,2014,under 100k
140000,Volkswagen,Golf Variant,Diesel,Automatic,Used,9990.0,110.0,2015,under 150k
160000,Ford,Focus,Diesel,Automatic,Used,9999.0,120.0,2015,under 200k
240000,Audi,A4,Diesel,Manual,Used,9999.0,190.0,2015,over 200k
28238,Opel,Meriva,Gasoline,Manual,Used,10190.0,140.0,2015,under 50k
114327,Opel,Insignia,Diesel,Automatic,Used,10200.0,131.0,2015,under 150k
352000,Peugeot,Boxer,Diesel,Manual,Used,10298.0,150.0,2015,over 200k
80575,Volkswagen,Polo,Diesel,Manual,Used,10299.0,105.0,2015,under 100k
79987,Ford,B-Max,Gasoline,Automatic,Used,10444.0,105.0,2015,under 100k
166554,Skoda,Superb,Diesel,Manual,Used,10490.0,170.0,2015,under 200k
47295,Ford,C-Max,Gasoline,Manual,Used,10490.0,101.0,2015,under 50k
90000,Opel,Insignia,Diesel,Manual,Used,10499.0,170.0,2015,under 100k
76800,Citroen,C4 Cactus,Gasoline,Manual,Used,10580.0,110.0,2015,under 100k
60000,Peugeot,208,Gasoline,Manual,Used,10750.0,110.0,2015,under 100k
9500,Hyundai,iX20,Gasoline,Manual,Used,10750.0,125.0,2015,under 50k
248000,Infiniti,Q70,Diesel,Automatic,Used,10900.0,170.0,2015,over 200k
118000,Volkswagen,Golf,Diesel,Manual,Used,10950.0,150.0,2015,under 150k
87000,Volkswagen,Golf,Gasoline,Manual,Used,10950.0,110.0,2015,under 100k
137000,BMW,316,Diesel,Manual,Used,10950.0,116.0,2015,under 150k
29000,Suzuki,Swift,Gasoline,Manual,Used,8990.0,94.0,2016,under 50k
198000,Volkswagen,Passat Variant,Diesel,Manual,Used,8999.0,120.0,2016,under 200k
192000,SsangYong,Korando,Diesel,Manual,Used,8999.0,178.0,2016,under 200k
15000,Dacia,Sandero,Gasoline,Manual,Used,9000.0,90.0,2016,under 50k
57800,Mazda,2,Gasoline,Manual,Used,9250.0,90.0,2016,under 100k
86900,Ford,B-Max,Gasoline,Manual,Used,9380.0,101.0,2016,under 100k
56617,Volkswagen,up!,Gasoline,Manual,Used,9440.0,90.0,2016,under 100k
70604,Toyota,Yaris,Gasoline,Manual,Used,9490.0,69.0,2016,under 100k
68656,Toyota,Yaris,Gasoline,Manual,Used,9490.0,69.0,2016,under 100k
64783,Toyota,Yaris,Gasoline,Manual,Used,9490.0,69.0,2016,under 100k
146148,Opel,Astra,Diesel,Manual,Used,9495.0,136.0,2016,under 150k
106300,Opel,Astra,Diesel,Manual,Used,9499.0,160.0,2016,under 150k
179200,Volkswagen,Passat Variant,Diesel,Manual,Used,9499.0,120.0,2016,under 200k
63000,Opel,Adam,Gasoline,Manual,Used,9500.0,87.0,2016,under 100k
154494,Peugeot,308,Diesel,Manual,Used,9500.0,120.0,2016,under 200k
72500,Suzuki,Swift,Gasoline,Manual,Used,9650.0,136.0,2016,under 100k
93300,Opel,Astra,Diesel,Manual,Used,9680.0,110.0,2016,under 100k
96999,Opel,Astra,Diesel,Manual,Used,9690.0,136.0,2016,under 100k
39990,Kia,Ceed / cee'd,Gasoline,Manual,Used,9690.0,101.0,2016,under 50k
66106,Audi,A4,Gasoline,Automatic,Used,20990.0,150.0,2017,under 100k
68000,Kia,Sorento,Diesel,Automatic,Used,27928.0,200.0,2017,under 100k
67000,Mercedes-Benz,GLC 220,Diesel,Automatic,Used,34900.0,170.0,2017,under 100k
55000,Audi,A6,Gasoline,Automatic,Used,34905.0,252.0,2017,under 100k
32100,Mercedes-Benz,E 400,Gasoline,Automatic,Used,37931.0,333.0,2017,under 50k
74000,smart,forTwo,Gasoline,Manual,Used,5555.0,71.0,2017,under 100k
31500,SEAT,Mii,Gasoline,Manual,Used,5780.0,60.0,2017,under 50k
62490,SEAT,Mii,Gasoline,Manual,Used,6390.0,60.0,2017,under 100k
100870,Volkswagen,up!,Gasoline,Manual,Used,6445.0,60.0,2017,under 150k
35450,Skoda,Citigo,Gasoline,Manual,Used,6445.0,60.0,2017,under 50k
65635,Volkswagen,up!,Gasoline,Manual,Used,6490.0,60.0,2017,under 100k
83000,Toyota,Aygo,Gasoline,Manual,Used,6500.0,69.0,2017,under 100k
35000,Dacia,Sandero,Gasoline,Manual,Used,6700.0,90.0,2017,under 50k
35093,Volkswagen,up!,Gasoline,Manual,Used,6750.0,60.0,2017,under 50k
66000,Fiat,Punto,Gasoline,Manual,Used,6799.0,69.0,2017,under 100k
61000,Hyundai,i10,Gasoline,Manual,Used,6900.0,67.0,2017,under 100k
118759,Ford,Fiesta,Diesel,Manual,Used,6990.0,95.0,2017,under 150k
31500,smart,forFour,Gasoline,Manual,Used,6999.0,71.0,2017,under 50k
77403,Ford,Fiesta,Diesel,Manual,Used,7090.0,75.0,2017,under 100k
66990,Audi,A6 allroad,Diesel,Automatic,Used,31880.0,272.0,2018,under 100k
73500,Audi,A4 allroad,Diesel,Automatic,Used,31980.0,163.0,2018,under 100k
59990,Audi,A4,Diesel,Automatic,Used,32940.0,218.0,2018,under 100k
79300,Mercedes-Benz,GLC 250,Diesel,Automatic,Used,34775.0,204.0,2018,under 100k
46300,Audi,Q2,Diesel,Automatic,Used,34890.0,190.0,2018,under 50k
54496,Audi,A6,Diesel,Automatic,Used,35480.0,231.0,2018,under 100k
51878,Volkswagen,Tiguan,Diesel,Automatic,Used,35490.0,239.0,2018,under 100k
13400,Cupra,Ateca,Gasoline,Automatic,Demonstration,35990.0,300.0,2018,under 50k
85200,Volkswagen,Amarok,Diesel,Automatic,Used,37700.0,224.0,2018,under 100k
49900,Audi,A6 allroad,Diesel,Automatic,Used,37950.0,320.0,2018,under 50k
39580,Audi,Q5,Diesel,Automatic,Used,39444.0,190.0,2018,under 50k
49394,Audi,Q5,Diesel,Automatic,Used,42480.0,190.0,2018,under 50k
81750,Audi,SQ5,Gasoline,Automatic,Used,42675.0,354.0,2018,under 100k
68900,Audi,Q5,Diesel,Automatic,Used,43900.0,286.0,2018,under 100k
72500,Audi,SQ5,Gasoline,Automatic,Used,44450.0,354.0,2018,under 100k
109590,Audi,Q7,Diesel,Automatic,Used,44850.0,272.0,2018,under 150k
28650,BMW,M2,Gasoline,Automatic,Used,44980.0,370.0,2018,under 50k
93390,Audi,A6,Diesel,Automatic,Used,44984.0,286.0,2018,under 100k
60188,Volvo,XC90,Diesel,Automatic,Used,45990.0,235.0,2018,under 100k
52070,BMW,X3,Diesel,Automatic,Used,46890.0,265.0,2018,under 100k
13710,Ford,Focus,Gasoline,Automatic,Used,26480.0,150.0,2019,under 50k
27949,Audi,A4,Diesel,Automatic,Used,26880.0,150.0,2019,under 50k
22500,Ford,Focus,Gasoline,Automatic,Demonstration,26880.0,150.0,2019,under 50k
57501,BMW,X2,Diesel,Automatic,Used,26970.0,190.0,2019,under 100k
34450,Volkswagen,Tiguan,Diesel,Automatic,Used,26980.0,150.0,2019,under 50k
35950,Volkswagen,T-Roc,Diesel,Automatic,Used,27440.0,150.0,2019,under 50k
12178,Audi,A4,Gasoline,Manual,Used,27440.0,150.0,2019,under 50k
41365,Volkswagen,Passat Variant,Diesel,Automatic,Used,27490.0,190.0,2019,under 50k
31900,Mercedes-Benz,Vito,Diesel,Automatic,Used,27600.0,163.0,2019,under 50k
45700,Audi,A4,Diesel,Automatic,Used,27980.0,150.0,2019,under 50k
9243,SEAT,Ateca,Gasoline,Automatic,Used,28250.0,150.0,2019,under 50k
8650,Ford,Kuga,Diesel,Automatic,Employee's car,28980.0,179.0,2019,under 50k
17615,Skoda,Karoq,Gasoline,Automatic,Demonstration,28990.0,150.0,2019,under 50k
4016,Mercedes-Benz,GLA 250,Gasoline,Automatic,Used,29111.0,211.0,2019,under 50k
9290,Ford,Kuga,Diesel,Automatic,Employee's car,29980.0,179.0,2019,under 50k
8650,Ford,Kuga,Diesel,Automatic,Employee's car,29980.0,179.0,2019,under 50k
22900,SEAT,Alhambra,Gasoline,Automatic,Used,29990.0,150.0,2019,under 50k
2955,Audi,A4,Diesel,Automatic,Used,29994.0,150.0,2019,under 50k
1060,Ford,Transit,Diesel,Manual,Used,30452.0,131.0,2019,under 50k
